,open,high,low,close,adjclose,volume,ticker,adjclose_1,true_adjclose_1,buy_profit,sell_profit
2017-03-27,838.0700073242188,850.2999877929688,833.5,846.8200073242188,846.8200073242188,2755800,AMZN,850.9226,856.0,4.10260009765625,0.0
2017-03-28,851.75,858.4600219726562,850.0999755859375,856.0,856.0,3041600,AMZN,851.2524,874.3200073242188,-4.74761962890625,0.0
2017-03-29,859.0499877929688,876.4400024414062,859.02001953125,874.3200073242188,874.3200073242188,4485800,AMZN,854.58386,876.3400268554688,-19.73614501953125,0.0
2017-03-30,874.9500122070312,877.0599975585938,871.6599731445312,876.3400268554688,876.3400268554688,2762700,AMZN,859.9532,886.5399780273438,-16.3868408203125,0.0
2017-03-31,877.0,890.3499755859375,876.6500244140625,886.5399780273438,886.5399780273438,3957600,AMZN,866.6271,891.5100097656249,-19.91290283203125,0.0
2017-04-03,888.0,893.489990234375,885.4199829101562,891.510009765625,891.510009765625,3422300,AMZN,873.9776,906.8300170898438,-17.53240966796875,0.0
2017-04-04,891.5,908.5399780273438,890.280029296875,906.8300170898438,906.8300170898438,4984700,AMZN,882.1087,909.2800292968749,-24.7213134765625,0.0
2017-04-05,910.8200073242188,923.719970703125,905.6199951171875,909.280029296875,909.280029296875,7508400,AMZN,891.42535,898.2800292968749,0.0,17.85467529296875
2017-04-06,913.7999877929688,917.1900024414062,894.489990234375,898.280029296875,898.280029296875,6344100,AMZN,898.69293,894.8800048828125,0.0,-0.41290283203125
2017-04-07,899.6500244140625,900.0900268554688,889.3099975585938,894.8800048828125,894.8800048828125,3710900,AMZN,902.23334,907.0399780273436,7.35333251953125,0.0
2017-04-10,899.6300048828125,908.510009765625,899.0,907.0399780273438,907.0399780273438,3184300,AMZN,904.83154,902.3599853515625,0.0,2.20843505859375
2017-04-11,907.0399780273438,911.239990234375,897.5,902.3599853515625,902.3599853515625,3012700,AMZN,906.7304,896.22998046875,0.0,-4.37042236328125
